universe_id,candidate_id,candidate_kind,candidate_text,artifact_id,artifact_locator,current_disposition,canonical_rule_id,superseded_by_rule_id,ledger_validation_status,effective_state,reason_code,notes
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-001,WORKFLOW_RULE,已核实必须带现场证据,CR-001,RULEBOOK.md#CR-001,ACCEPTED,CR-001,,PASS,ACTIVE,COMPILED_ACCEPTED,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-002,WORKFLOW_RULE,120 K 先做 A/B 定性,CR-002,RULEBOOK.md#CR-002,ACCEPTED,CR-002,,PASS,ACTIVE,COMPILED_ACCEPTED,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-003,WORKFLOW_RULE,一次只改一个变量,CR-003,RULEBOOK.md#CR-003,ACCEPTED,CR-003,,PASS,ACTIVE,COMPILED_ACCEPTED,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-004,WORKFLOW_RULE,运行同时留痕,CR-004,RULEBOOK.md#CR-004,ACCEPTED,CR-004,,PASS,ACTIVE,COMPILED_ACCEPTED,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-005,WORKFLOW_RULE,报错先查证据链不猜参数,CR-005,RULEBOOK.md#CR-005,ACCEPTED,CR-005,,PASS,ACTIVE,COMPILED_ACCEPTED,Unsupported numeric expansion removed
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-006,WORKFLOW_RULE,方案先对抗评审再冻结,CR-006,RULEBOOK.md#CR-006,ACCEPTED,CR-006,,PASS,ACTIVE,COMPILED_ACCEPTED,Mixed authorship recorded
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-007,WORKFLOW_RULE,冻结计划与执行分离,CR-007,RULEBOOK.md#CR-007,ACCEPTED,CR-007,,PASS,ACTIVE,COMPILED_ACCEPTED,Mixed authorship recorded
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-008,WORKFLOW_RULE,用户建议先过冲突门,CR-008,RULEBOOK.md#CR-008,ACCEPTED,CR-008,,PASS,ACTIVE,COMPILED_ACCEPTED,Mixed authorship recorded
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-009,WORKFLOW_RULE,已验证步骤不重跑,CR-009,RULEBOOK.md#CR-009,ACCEPTED,CR-009,,PASS,ACTIVE,COMPILED_ACCEPTED,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-010,WORKFLOW_RULE,每轮一个 RUN 收纳箱,CR-010,RULEBOOK.md#CR-010,ACCEPTED,CR-010,,PASS,ACTIVE,COMPILED_ACCEPTED,Repository-derived without original-author claim
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-011,WORKFLOW_RULE,长任务走 tmux 正规 runner,CR-011,RULEBOOK.md#CR-011,ACCEPTED,CR-011,,PASS,ACTIVE,COMPILED_ACCEPTED,Mixed authorship recorded
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-012,WORKFLOW_RULE,主产线是 DeckBuild 三层闭环,CR-012,RULEBOOK.md#CR-012,ACCEPTED,CR-012,,PASS,ACTIVE,COMPILED_ACCEPTED,Mixed source components recorded
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-013,WORKFLOW_RULE,物理改动必须核签,CR-013,RULEBOOK.md#CR-013,ACCEPTED,CR-013,,PASS,ACTIVE,COMPILED_ACCEPTED,Unsupported source-item expansion removed
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-014,WORKFLOW_RULE,版本更新后的首会话预检失败就停止,CR-014,RULEBOOK.md#CR-014,ACCEPTED,CR-014,,PASS,ACTIVE,COMPILED_ACCEPTED,Repository-derived and scope narrowed to exact cutoff evidence
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-015,WORKFLOW_RULE,30–60 分钟给可视进展,CR-015,RULEBOOK.md#CR-015,ACCEPTED,CR-015,,PASS,ACTIVE,COMPILED_ACCEPTED,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-CR-016,WORKFLOW_RULE,每轮留下可选下一步,CR-016,RULEBOOK.md#CR-016,ACCEPTED,CR-016,,PASS,ACTIVE,COMPILED_ACCEPTED,Unsupported falsifiability expansion removed
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-SR-001,WORKFLOW_RULE,仿真必须经 VictoryDoE GUI 工程树可见,SR-001,SUPERSEDED_RULES.md#SR-001,SUPERSEDED,,CR-012,PASS,INACTIVE,SUPERSEDED_BY_CURRENT_PIPELINE,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-SR-002,WORKFLOW_RULE,为预偏置收敛可先关闭 lat.temp,SR-002,SUPERSEDED_RULES.md#SR-002,SUPERSEDED,,CR-013,PASS,INACTIVE,SUPERSEDED_BY_PHYSICS_GATE,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-SR-003,WORKFLOW_RULE,初始栅压固定为 −55 V,SR-003,SUPERSEDED_RULES.md#SR-003,SUPERSEDED,,CURRENT_DEVICE_SCOPE,PASS,INACTIVE,HISTORICAL_DEVICE_ROUTE,Release-inventory closure only
COMPILED_RULE_ARTIFACT_SET_V1,CAN-COMPILED-SR-004,WORKFLOW_RULE,固定 tc.const/tc.npow 为全局正确热导,SR-004,SUPERSEDED_RULES.md#SR-004,SUPERSEDED,,CR-003,PASS,INACTIVE,REQUIRES_EVIDENCE_AND_OFAT,Release-inventory closure only
